sensor,time,t,ax,ay,az,wx,wy,wz,lat,lon,alt,v_kmh,satellites,x,y
acc,1778674534.0,333.0,0.117188,0.28125,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.078125,0.242188,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.078125,0.242188,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.078125,0.28125,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.078125,0.28125,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.039062,0.242188,-9.839844,,,,,,,,,,
acc,1778674534.0,333.0,0.039062,0.242188,-9.839844,,,,,,,,,,
acc,1778674534.0,333.0,0.039062,0.242188,-9.839844,,,,,,,,,,
acc,1778674534.0,333.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.0,0.242188,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.0,0.28125,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.0,0.242188,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.0,0.242188,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.0,0.242188,-9.839844,,,,,,,,,,
acc,1778674534.0,333.0,0.0,0.242188,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.0,0.242188,-9.839844,,,,,,,,,,
acc,1778674534.0,333.0,0.0,0.242188,-9.839844,,,,,,,,,,
acc,1778674534.0,333.0,0.0,0.242188,-9.839844,,,,,,,,,,
acc,1778674534.0,333.0,0.0,0.28125,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,-0.035156,0.242188,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,-0.035156,0.28125,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.0,0.28125,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.0,0.28125,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.0,0.28125,-9.839844,,,,,,,,,,
acc,1778674534.0,333.0,0.0,0.242188,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.0,0.242188,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.0,0.28125,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.0,0.28125,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,-0.035156,0.242188,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.0,0.28125,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.0,0.242188,-9.839844,,,,,,,,,,
acc,1778674534.0,333.0,0.0,0.242188,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.039062,0.28125,-9.839844,,,,,,,,,,
acc,1778674534.0,333.0,0.039062,0.28125,-9.839844,,,,,,,,,,
acc,1778674534.0,333.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.078125,0.28125,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.078125,0.28125,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.039062,0.28125,-9.839844,,,,,,,,,,
acc,1778674534.0,333.0,0.039062,0.28125,-9.839844,,,,,,,,,,
acc,1778674534.0,333.0,0.078125,0.28125,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.078125,0.28125,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.078125,0.242188,-9.839844,,,,,,,,,,
acc,1778674534.0,333.0,0.117188,0.28125,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.078125,0.28125,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.078125,0.28125,-9.839844,,,,,,,,,,
acc,1778674534.0,333.0,0.078125,0.28125,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.078125,0.28125,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.078125,0.242188,-9.839844,,,,,,,,,,
acc,1778674534.0,333.0,0.078125,0.28125,-9.839844,,,,,,,,,,
acc,1778674534.0,333.0,0.078125,0.242188,-9.839844,,,,,,,,,,
acc,1778674534.0,333.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,-0.035156,0.28125,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.0,0.28125,-9.839844,,,,,,,,,,
acc,1778674534.0,333.0,0.0,0.28125,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.0,0.242188,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.0,0.242188,-9.839844,,,,,,,,,,
acc,1778674534.0,333.0,0.0,0.242188,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.0,0.203125,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,-0.035156,0.242188,-9.839844,,,,,,,,,,
acc,1778674534.0,333.0,-0.035156,0.28125,-9.761719,,,,,,,,,,
acc,1778674534.0,333.0,-0.035156,0.28125,-9.761719,,,,,,,,,,
acc,1778674534.0,333.0,-0.035156,0.242188,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,-0.035156,0.28125,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.0,0.242188,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.0,0.242188,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.0,0.242188,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.039062,0.242188,-9.839844,,,,,,,,,,
acc,1778674534.0,333.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.0,0.28125,-9.839844,,,,,,,,,,
acc,1778674534.0,333.0,0.039062,0.28125,-9.839844,,,,,,,,,,
acc,1778674534.0,333.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674534.0,333.0,0.078125,0.28125,-9.839844,,,,,,,,,,
acc,1778674534.0,333.0,0.117188,0.28125,-9.839844,,,,,,,,,,
acc,1778674534.0,333.0,0.078125,0.28125,-9.878906,,,,,,,,,,
acc,1778674535.0,334.0,0.078125,0.28125,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,0.078125,0.28125,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.28125,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,0.078125,0.28125,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,0.078125,0.242188,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.078125,0.242188,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.078125,0.242188,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.078125,0.28125,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.078125,0.28125,-9.761719,,,,,,,,,,
acc,1778674535.0,334.0,0.078125,0.28125,-9.761719,,,,,,,,,,
acc,1778674535.0,334.0,0.078125,0.28125,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.078125,0.28125,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.242188,-9.761719,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.242188,-9.761719,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.242188,-9.761719,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.0,0.242188,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,-0.035156,0.28125,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,-0.035156,0.320312,-9.800781,,,,,,,,,,
acc,1778674535.0,334.0,-0.035156,0.28125,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,-0.035156,0.242188,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,-0.035156,0.242188,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,-0.035156,0.242188,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.0,0.242188,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,0.0,0.242188,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,-0.035156,0.242188,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,-0.035156,0.242188,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,0.0,0.242188,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,-0.035156,0.28125,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,-0.035156,0.28125,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,0.0,0.28125,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,0.0,0.28125,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.0,0.28125,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.320312,-9.800781,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.320312,-9.875,,,,,,,,,,
acc,1778674535.0,334.0,0.0,0.28125,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.0,0.28125,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.28125,-9.761719,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.28125,-9.761719,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.078125,0.28125,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.242188,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,0.078125,0.242188,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.078125,0.242188,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.078125,0.242188,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.078125,0.28125,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.078125,0.242188,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.078125,0.242188,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.078125,0.242188,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.078125,0.242188,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.078125,0.28125,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.28125,-9.761719,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.28125,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,0.078125,0.320312,-9.757812,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.078125,0.28125,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.117188,0.28125,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.078125,0.242188,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.242188,-9.761719,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.0,0.28125,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,0.0,0.242188,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,0.0,0.242188,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.0,0.242188,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.242188,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.242188,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,0.0,0.242188,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,0.0,0.242188,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,0.0,0.28125,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,-0.035156,0.28125,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.28125,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,0.0,0.28125,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.0,0.28125,-9.761719,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.28125,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.242188,-9.761719,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.242188,-9.761719,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.242188,-9.761719,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.0,0.242188,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.242188,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.242188,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.242188,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.28125,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,-0.035156,0.28125,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,0.0,0.28125,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,0.0,0.320312,-9.800781,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.320312,-9.800781,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.320312,-9.835938,,,,,,,,,,
acc,1778674535.0,334.0,0.0,0.320312,-9.835938,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.320312,-9.800781,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.320312,-9.800781,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.320312,-9.757812,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.0,0.320312,-9.757812,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.320312,-9.757812,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.078125,0.242188,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.078125,0.203125,-9.761719,,,,,,,,,,
acc,1778674535.0,334.0,0.078125,0.242188,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.078125,0.203125,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.242188,-9.761719,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.203125,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.0,0.242188,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.0,0.242188,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.0,0.242188,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.242188,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.242188,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,0.039062,0.242188,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,0.0,0.28125,-9.839844,,,,,,,,,,
acc,1778674535.0,334.0,0.0,0.28125,-9.796875,,,,,,,,,,
acc,1778674535.0,334.0,0.0,0.28125,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.28125,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.28125,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.28125,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.242188,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.242188,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.242188,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.203125,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.320312,-9.800781,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.28125,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.28125,-9.761719,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.320312,-9.800781,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.320312,-9.757812,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.320312,-9.800781,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.320312,-9.757812,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.28125,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.320312,-9.835938,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.320312,-9.800781,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.320312,-9.800781,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.320312,-9.800781,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.320312,-9.800781,,,,,,,,,,
acc,1778674536.0,335.0,0.078125,0.28125,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,0.078125,0.28125,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,0.078125,0.28125,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.078125,0.28125,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.078125,0.28125,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.078125,0.28125,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.078125,0.242188,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.078125,0.203125,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.078125,0.242188,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.242188,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.242188,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.242188,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.242188,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.242188,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.242188,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.242188,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.28125,-9.761719,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.28125,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.28125,-9.761719,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.28125,-9.761719,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.242188,-9.761719,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.242188,-9.761719,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.242188,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.242188,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.242188,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.242188,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.203125,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,-0.035156,0.242188,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.242188,-9.878906,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.242188,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.242188,-9.878906,,,,,,,,,,
acc,1778674536.0,335.0,-0.035156,0.242188,-9.878906,,,,,,,,,,
acc,1778674536.0,335.0,-0.035156,0.28125,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,-0.035156,0.320312,-9.835938,,,,,,,,,,
acc,1778674536.0,335.0,-0.035156,0.28125,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.320312,-9.835938,,,,,,,,,,
acc,1778674536.0,335.0,-0.035156,0.320312,-9.835938,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.320312,-9.835938,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.320312,-9.835938,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.28125,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.320312,-9.835938,,,,,,,,,,
acc,1778674536.0,335.0,0.078125,0.320312,-9.835938,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.320312,-9.800781,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.320312,-9.800781,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.320312,-9.757812,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.320312,-9.757812,,,,,,,,,,
acc,1778674536.0,335.0,0.078125,0.320312,-9.757812,,,,,,,,,,
acc,1778674536.0,335.0,0.078125,0.28125,-9.761719,,,,,,,,,,
acc,1778674536.0,335.0,0.078125,0.28125,-9.761719,,,,,,,,,,
acc,1778674536.0,335.0,0.078125,0.242188,-9.761719,,,,,,,,,,
acc,1778674536.0,335.0,0.078125,0.242188,-9.761719,,,,,,,,,,
acc,1778674536.0,335.0,0.078125,0.28125,-9.761719,,,,,,,,,,
acc,1778674536.0,335.0,0.078125,0.242188,-9.761719,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.242188,-9.761719,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.242188,-9.761719,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.242188,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.203125,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.203125,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.242188,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.203125,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.203125,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.242188,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.203125,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,0.078125,0.242188,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.242188,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.242188,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.28125,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.28125,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.28125,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.28125,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.28125,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.242188,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.242188,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.242188,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.28125,-9.839844,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.28125,-9.796875,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.320312,-9.835938,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.320312,-9.757812,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.320312,-9.800781,,,,,,,,,,
acc,1778674536.0,335.0,0.0,0.355469,-9.835938,,,,,,,,,,
acc,1778674536.0,335.0,-0.035156,0.355469,-9.800781,,,,,,,,,,
acc,1778674536.0,335.0,0.039062,0.320312,-9.835938,,,,,,,,,,
gyro,1778674515.0,314.0,,,,-0.001953,-0.001953,0.0,,,,,,,
gyro,1778674515.0,314.0,,,,0.001953,-0.001953,0.0,,,,,,,
gyro,1778674515.0,314.0,,,,0.003906,0.001953,0.0,,,,,,,
gyro,1778674515.0,314.0,,,,0.0,0.0,0.001953,,,,,,,
gyro,1778674515.0,314.0,,,,0.0,0.0,-0.001953,,,,,,,
